id,ifi_id,application_id,type,value,status,created_at,updated_at,_load_ts_ms,attributes,cdc_source_ts_ms,cdc_op
52bc9d62-c22b-4e95-85a1-cace98008938,162402,ce5e7e1b-5ea3-4ac4-a8bd-9aba7d8e7373,e,1600149496505martin.okon@yahoo.com,ENABLED,2020-09-15 05:58:16.030000,2020-09-15 05:58:16.854000,1681733470000,{},,
36d5a509-b07c-4a97-9927-561564843439,162402,3cc7b3f8-c7ae-4ec8-a0fd-6cde8edaea4f,p,+1600149496954,ENABLED,2020-09-15 05:58:17.247000,2020-09-15 05:58:17.247000,1681733470000,{},,
dd380d4a-ab9d-414d-8dff-235be6d0cf01,162402,a5ed2bf6-8d4f-4cb4-a004-cdefca1e2e4c,e,1600150862952hayden.donnelly@hotmail.com,ENABLED,2020-09-15 06:21:02.582000,2020-09-15 06:21:03.213000,1681733470000,{},,
8cf763ea-6a3f-4305-824a-d1f3c8bf8a8b,162402,751c74aa-86d0-4129-b77f-a42d631dd0fc,p,+1600150900418,ENABLED,2020-09-15 06:21:40.707000,2020-09-15 06:21:40.707000,1681733470000,{},,
fa388cd5-b10f-4e62-a837-c42a4df7d06e,162402,2a3b0f13-a420-4126-943d-1fc4830d61b6,p,+1600150903208,ENABLED,2020-09-15 06:21:42.783000,2020-09-15 06:21:43.492000,1681733470000,{},,
20655cea-6e23-4d09-8983-149a94631a8d,162402,ef4400ec-964c-46b0-a036-3b4e8fd13ab2,p,+1600150905563,ENABLED,2020-09-15 06:21:45.807000,2020-09-15 06:21:45.807000,1681733470000,{},,
17bf6e2a-6154-4fe0-940b-6501a6d2c0d7,162402,57c95b92-b57f-4c9a-81be-6d119ca50a44,e,1600150906486kattie.heidenreich@hotmail.com,ENABLED,2020-09-15 06:21:46.766000,2020-09-15 06:21:46.766000,1681733470000,{},,
c803323f-ff8b-4881-973d-0b7ee95ccc4a,162402,83bb9362-bcad-4656-a98e-2a5b70e1dffd,e,1600150978751noel.wiza@yahoo.com,ENABLED,2020-09-15 06:22:59.106000,2020-09-15 06:22:59.106000,1681733470000,{},,
8beb2537-79c6-460f-bf35-cd1c737d54a6,162402,a7339b6d-025b-4783-a4f5-028c3d28295e,p,+1600151026738,ENABLED,2020-09-15 06:23:47.023000,2020-09-15 06:23:47.023000,1681733470000,{},,
54cc3e91-8c91-486b-b62c-c86e4c410451,162402,3fdbb843-32ce-470a-88c1-ec6efdf9f773,e,1600153324818franklin.lindgren@gmail.com,ENABLED,2020-09-15 07:02:05.134000,2020-09-15 07:02:05.134000,1681733470000,{},,
475e709f-2601-474c-b37d-c4f7fb16d274,162402,3552d608-a25c-4beb-b280-a38ff418dcf3,p,+1600153325475,ENABLED,2020-09-15 07:02:05.857000,2020-09-15 07:02:05.857000,1681733470000,{},,
b4a6f528-b14c-4da9-a79b-0ed2e917fcf4,162402,88668128-7e2f-472e-ba88-2218bb921ea1,e,1600153326359kirk.greenholt@gmail.com,ENABLED,2020-09-15 07:02:06.865000,2020-09-15 07:02:06.865000,1681733470000,{},,
29d3e55f-c9d5-4e3d-a2de-1f316e3f1031,162402,926172ab-5f68-4f2c-bbfb-9cba1457a46a,e,1600153824576ellamae.williamson@hotmail.com,ENABLED,2020-09-15 07:10:24.848000,2020-09-15 07:10:24.848000,1681733470000,{},,
865ef0eb-50aa-4ac4-ab6c-73c0f4b6aa27,162402,c7cf75be-6abd-4b45-b92e-620e5969b943,p,+918687772644,ENABLED,2020-09-15 07:18:53.656000,2020-09-15 07:18:53.656000,1681733470000,{},,
c3ca9876-6334-44cf-84cd-7153be6c1e76,162402,7f32797f-8434-46fb-81d1-502d9770dfd9,e,1600167235431dinah.wunsch@hotmail.com,ENABLED,2020-09-15 10:53:55.604000,2020-09-15 18:39:14.684000,1681733470000,{},,
c199f25b-46af-482d-a48c-d362c0329b55,162402,8bdac004-5e11-424a-b2ba-2d72efc4ea6a,p,+1600170846205,ENABLED,2020-09-15 11:54:06.379000,2020-09-15 18:39:14.684000,1681733470000,{},,
cfbab1cd-7d4f-415b-b89b-2189d42d50d1,162402,6dfa9f59-5aba-46b8-99cb-07529b2356b2,e,1600170908770antoine.weissnat@yahoo.com,ENABLED,2020-09-15 11:55:08.335000,2020-09-15 11:55:08.989000,1681733470000,{},,
c0b8ba5a-1213-4f81-9036-8f20a392c49b,162402,bfa9d2a3-9586-45a5-8aeb-05ffc3889000,p,+1600172489473,ENABLED,2020-09-15 12:21:28.955000,2020-09-15 12:21:29.768000,1681733470000,{},,
14167360-2f66-4664-8875-a3cbb61c83b9,162402,11c8840c-2f60-4f6b-a308-0120c88c824a,e,1600172491706libby.mueller@hotmail.com,ENABLED,2020-09-15 12:21:32.009000,2020-09-15 12:21:32.009000,1681733470000,{},,
b9863e2d-783e-4e68-92aa-7b29f1465898,162402,e3cc4057-884a-4a2f-8abc-06938aaef997,e,1600172692107hai.harber@hotmail.com,ENABLED,2020-09-15 12:24:51.640000,2020-09-15 12:24:52.467000,1681733470000,{},,
