cardreferencenumber,cardholdergender,cardholdername,nameoncard,employeeid,companyid,firstname,middlename,lastname,embossingname,salutation,additionallineoncard,phonenumber,emailaddress,deliveryaddressline1,deliveryaddressline2,deliveryaddressline3,deliveryaddressline4,deliveryaddressstate,deliveryaddresscountry,deliveryaddresspincode,deliveryaddresscity,deliveryaddressphoneno,deliveryaddressmobileno,deliveryaddressemail,dispatchpin,clientorderid,clientordercreatorid,clientid,clientname,status,card6x4,embossingfilename,cardid,startdatemonth,startdateseparator,startdateyear,expirydatemonth,expirydateseparator,expirydateyear,addressline1,addressline2,addressline3,addressline4,pincode,city,state,country,embossingthirdline,embossingfourthline,plasticcode,productcode,templateid,cardskuid,requesttimestamp,ispersonalized,clientcardid,recordid,orderid,deliveryaddressname,_load_ts_ms,vendorid,batchid,groupid,scheduleinstanceid,issuancetype,additionalattributes,notificationurls,files,vendorresponse,cdc_source_ts_ms,cdc_op
198107002960,,,,,,,,,,,,,,,,,,,,,,,,,False,e3fb6a20-70e1-4f4c-a2c8-7827d1eec501,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-2136,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-13 13:24:56.838102+00:00,False,0,1,b2142a32-7c48-4388-97cf-385a59c841e3,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
189505268676,,,,,,,,,,,,,,,,,,,,,,,,,False,f102ef3e-8d79-4614-8f05-78e1d23374aa,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-8063,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-13 13:26:48.830253+00:00,False,0,1,d23782c7-1652-4864-a446-ae0871cd60fa,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
175059365268,,,,,,,,,,,,,,,,,,,,,,,,,False,ccd72444-9325-479b-8ccf-c6af5afed867,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-0069,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-15 10:33:10.780502+00:00,False,0,1,1f1afa5e-033b-45c9-aee8-3215b4a2ccfd,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
135487845525,,,,,,,,,,,,,,,,,,,,,,,,,False,e611301c-3026-4333-89e4-56117e8adbd6,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-9321,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-24 09:33:57.165808+00:00,False,0,1,4b205a35-fe96-4af7-9f5f-d07280f08b8f,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
162554468099,,,,,,,,,,,,,,,,,,,,,,,,,False,64c510f9-04de-4571-94cd-e5b211ebfd6d,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-8788,,,4,/,23,3,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-04-10 05:17:24.596904+00:00,False,0,1,dfb820dc-29be-43fc-b95c-e2f108cb2be2,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
103637037230,,,,,,,,,,,,,,,,,,,,,,,,,False,c2bdeb73-d75b-401a-8be8-adf5e8a4e0d8,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-6424,,,4,/,23,3,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-04-10 06:08:04.325883+00:00,False,0,1,23a6dd6b-040f-4134-b89a-916253c827d9,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
109979584248,,,,,,,,,,,,,,,,,,,,,,,,,False,74791acd-8548-46a9-8e6c-0ea718238abc,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-9213,,,4,/,23,3,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-04-23 07:25:09.074622+00:00,False,0,1,5624d1ff-2218-40a6-8ce3-bd534cc5fb09,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
197420353529,,COA__1441665598567441191__435729,COA__1441665598567441191__435729,,,,,,COA__1441665598567441191__435729,,,,,Directiplex,Near Andheri Subway,Old Nagardas Road,Andheri East,Maharashtra,India,755023,Mumbai,+919090909090,,,False,acc725c4-f751-4d5e-8e9f-127be48ff204FPO,,embossing,,EMBOSSING_FILE_GENERATED,888830-xxxxxx-8719,,,9,/,23,9,/,27,,,,,,,,,COA__1441665598567441191__435729,Joseph,WHITEC,CRPUS003001_LSG,,SKUUS003001_LSG,2023-09-14 15:37:40.797126+00:00,False,0,1,3e04d3a5-b494-4f9b-be48-e25b7ad9e4ab,Farzan Shaikh,1695800923000,VENIN00100703,53d78d92-0d8d-4c11-833a-fa25742d8470,SKUUS003001_LSG_VENIN00100703,ee6d5cb9-ee8d-404e-8609-f47436c74511_27_09_2023,NEW_ISSUANCE,"""{\""cashlimit\"":\""30001\"",\""homephone\"":\""9930158052\"",\""landmark1\"":\""mazgaon\"",\""landmark2\"":\""anjeerwadi\"",\""resmailid\"":\""idristinwala53@gmail.com\"",\""trackingId\"":\""00000000000\"",\""creditlimit\"":\""1000001\"",\""officephone\"":\""2307899\"",\""productName\"":\""ZAPPCREDIT\"",\""accountnumber\"":\""30315183\"",\""promodiscount\"":\""999\"",\""officialmailid\"":\""idristi@zeta.tech\""}""","""[]""","""{\""EMBOSSING\"":{\""fileName\"":\""ftp1317-20230927131243.pgp\"",\""backupFileName\"":\""used/88883001/Evolve.EMB.20230927131243.pgp\"",\""fileGenerationTimeStamp\"":\""2023-09-27T07:43:29.926Z[UTC]\""}}""","""null""",1695800610030,
178522321274,,,,,,,,,,,,,,,,,,,,,,,,,False,5da42c8b-36e0-499e-a507-3216f32b853b,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-8655,,,1,/,23,12,/,25,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-01-18 07:44:36.542887+00:00,False,0,1,d0b56f43-3494-476e-87e2-e611112f4549,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
171249926289,,,,,,,,,,,,,,,,,,,,,,,,,False,87381b37-8c4a-468e-a205-4bdcc57a0446,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-3660,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-13 12:51:09.629890+00:00,False,0,1,043db1f6-5b24-4098-9d1f-e06257a60ea6,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
125814292731,,,,,,,,,,,,,,,,,,,,,,,,,False,30dd19b2-acc1-4344-9dce-3bf6e63ec598,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-7818,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-14 11:52:15.493361+00:00,False,0,1,24699d4d-c521-4aff-806e-9911cc181721,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
189980540599,,,,,,,,,,,,,,,,,,,,,,,,,False,42322c20-4256-44fe-9fd4-0a9263bf022b,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-0207,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-15 09:31:24.608335+00:00,False,0,1,5b98456e-5cfc-40c7-867e-f2ad886c80a7,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
136110452936,,,,,,,,,,,,,,,,,,,,,,,,,False,902442cb-c693-4c80-9eb6-0529496c30bc,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-4640,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-24 04:04:39.354039+00:00,False,0,1,ac5e72bf-e60e-47c1-abc1-93e67bd410c7,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
158793326916,,,,,,,,,,,,,,,,,,,,,,,,,False,2bbe754a-9994-489d-b774-67280b371db3,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-7187,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-24 04:08:58.888612+00:00,False,0,1,6f7ff44d-2356-4b6b-9d43-3d5eefec5ceb,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
123552833842,,,,,,,,,,,,,,,,,,,,,,,,,False,e280de6c-2a62-4b19-a864-a6e57061ed04,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-9717,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-24 04:14:05.886210+00:00,False,0,1,eada53a1-49a1-48b2-a23e-dff3a2d7d3c4,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
129474383042,,,,,,,,,,,,,,,,,,,,,,,,,False,8b298eb4-b629-492f-b013-52c3e7f49cca,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-4767,,,4,/,23,3,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-04-12 13:39:18.811270+00:00,False,0,1,8b4bb86f-6eb8-4eb8-87ee-a20221ff4ec3,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
175056635093,,,,,,,,,,,,,,,,,,,,,,,,,False,230b8207-171a-4035-ba85-4cb1dba7d755,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-1211,,,4,/,23,3,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-04-23 07:26:05.209750+00:00,False,0,1,4f71eacd-cf95-4895-925b-86214fb5cfd7,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
191235389041,,,,,,,,,,,,,,,,,,,,,,,,,False,9b09bfc3-eacd-4eb3-9d35-d9fd49c87b30,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-1287,,,4,/,23,3,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-04-23 11:34:24.224693+00:00,False,0,1,27233f0b-1637-495f-b7bb-6b736d2d15f1,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
154656034814,,COA__1441665598567441191__458349,COA__1441665598567441191__458349,,,,,,COA__1441665598567441191__458349,,,,,Directiplex,Near Andheri Subway,Old Nagardas Road,Andheri East,Maharashtra,India,755023,Mumbai,+919090909090,,,False,32f0dc97-61f9-4fc9-af9a-fd08a0991dfeFPO,,embossing,,EMBOSSING_FILE_GENERATED,888830-xxxxxx-5021,,,9,/,23,9,/,27,,,,,,,,,COA__1441665598567441191__458349,Joseph,WHITEC,CRPUS003001_LSG,,SKUUS003001_LSG,2023-09-14 15:37:39.150130+00:00,False,0,1,d2ae98b3-0de4-4d4d-9608-c31651a2c58d,Farzan Shaikh,1695800923000,VENIN00100703,53d78d92-0d8d-4c11-833a-fa25742d8470,SKUUS003001_LSG_VENIN00100703,ee6d5cb9-ee8d-404e-8609-f47436c74511_27_09_2023,NEW_ISSUANCE,"""{\""cashlimit\"":\""30001\"",\""homephone\"":\""9930158052\"",\""landmark1\"":\""mazgaon\"",\""landmark2\"":\""anjeerwadi\"",\""resmailid\"":\""idristinwala53@gmail.com\"",\""trackingId\"":\""00000000000\"",\""creditlimit\"":\""1000001\"",\""officephone\"":\""2307899\"",\""productName\"":\""ZAPPCREDIT\"",\""accountnumber\"":\""30315183\"",\""promodiscount\"":\""999\"",\""officialmailid\"":\""idristi@zeta.tech\""}""","""[]""","""{\""EMBOSSING\"":{\""fileName\"":\""ftp1317-20230927131243.pgp\"",\""backupFileName\"":\""used/88883001/Evolve.EMB.20230927131243.pgp\"",\""fileGenerationTimeStamp\"":\""2023-09-27T07:43:29.926Z[UTC]\""}}""","""null""",1695800610030,
165167190354,,COA__1441665598567441191__977087,COA__1441665598567441191__977087,,,,,,COA__1441665598567441191__977087,,,,,Directiplex,Near Andheri Subway,Old Nagardas Road,Andheri East,Maharashtra,India,755023,Mumbai,+919090909090,,,False,83657b13-7198-4e04-b2e6-4ff2ee6784c8FPO,,embossing,,EMBOSSING_FILE_GENERATED,888830-xxxxxx-9904,,,9,/,23,9,/,27,,,,,,,,,COA__1441665598567441191__977087,Joseph,WHITEC,CRPUS003001_LSG,,SKUUS003001_LSG,2023-09-14 15:37:42.443584+00:00,False,0,1,a4df1281-032c-4aa0-be46-2615b6015304,Farzan Shaikh,1695800923000,VENIN00100703,53d78d92-0d8d-4c11-833a-fa25742d8470,SKUUS003001_LSG_VENIN00100703,ee6d5cb9-ee8d-404e-8609-f47436c74511_27_09_2023,NEW_ISSUANCE,"""{\""cashlimit\"":\""30001\"",\""homephone\"":\""9930158052\"",\""landmark1\"":\""mazgaon\"",\""landmark2\"":\""anjeerwadi\"",\""resmailid\"":\""idristinwala53@gmail.com\"",\""trackingId\"":\""00000000000\"",\""creditlimit\"":\""1000001\"",\""officephone\"":\""2307899\"",\""productName\"":\""ZAPPCREDIT\"",\""accountnumber\"":\""30315183\"",\""promodiscount\"":\""999\"",\""officialmailid\"":\""idristi@zeta.tech\""}""","""[]""","""{\""EMBOSSING\"":{\""fileName\"":\""ftp1317-20230927131243.pgp\"",\""backupFileName\"":\""used/88883001/Evolve.EMB.20230927131243.pgp\"",\""fileGenerationTimeStamp\"":\""2023-09-27T07:43:29.926Z[UTC]\""}}""","""null""",1695800610030,
171945846140,,COA__1441665598567441191__846947,COA__1441665598567441191__846947,,,,,,COA__1441665598567441191__846947,,,,,Directiplex,Near Andheri Subway,Old Nagardas Road,Andheri East,Maharashtra,India,755023,Mumbai,+919090909090,,,False,0aec3aea-e046-4b2e-be61-de6847091e50FPO,,embossing,,EMBOSSING_FILE_GENERATED,888830-xxxxxx-4555,,,9,/,23,9,/,27,,,,,,,,,COA__1441665598567441191__846947,Joseph,WHITEC,CRPUS003001_LSG,,SKUUS003001_LSG,2023-09-14 15:37:45.613889+00:00,False,0,1,3f5f1364-1a0c-477d-be2f-6399c49492d6,Farzan Shaikh,1695800923000,VENIN00100703,53d78d92-0d8d-4c11-833a-fa25742d8470,SKUUS003001_LSG_VENIN00100703,ee6d5cb9-ee8d-404e-8609-f47436c74511_27_09_2023,NEW_ISSUANCE,"""{\""cashlimit\"":\""30001\"",\""homephone\"":\""9930158052\"",\""landmark1\"":\""mazgaon\"",\""landmark2\"":\""anjeerwadi\"",\""resmailid\"":\""idristinwala53@gmail.com\"",\""trackingId\"":\""00000000000\"",\""creditlimit\"":\""1000001\"",\""officephone\"":\""2307899\"",\""productName\"":\""ZAPPCREDIT\"",\""accountnumber\"":\""30315183\"",\""promodiscount\"":\""999\"",\""officialmailid\"":\""idristi@zeta.tech\""}""","""[]""","""{\""EMBOSSING\"":{\""fileName\"":\""ftp1317-20230927131243.pgp\"",\""backupFileName\"":\""used/88883001/Evolve.EMB.20230927131243.pgp\"",\""fileGenerationTimeStamp\"":\""2023-09-27T07:43:29.926Z[UTC]\""}}""","""null""",1695800610030,
